"part","day","total_locations","total_houses","hours_home","job2","job_new","age_18_up2","male3","socio_comb","rel_locations","rel_houses","rel_hours"
"2",10,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"2",11,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"2",12,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"2",13,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"2",14,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"2",30,1.6,0.933333333333333,9.14285714285714,5,"student","Child","Male","Young student",-0.06666666666667,-0.066666666666667,0.142857142857141
"3",-15,0.2,0.133333333333333,15.33,3,"homemaker","Adult","Female","Homemaker",0,0,0
"3",0,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",1,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",2,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",3,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",4,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",5,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",6,0,0,6,3,"homemaker","Adult","Female","Homemaker",-0.2,-0.133333333333333,-9.33
"3",7,0,0,4,3,"homemaker","Adult","Female","Homemaker",-0.2,-0.133333333333333,-11.33
"3",8,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",9,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",10,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",11,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",12,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",13,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",14,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"3",30,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"4",-15,0.0666666666666667,0,15.86,7,"working adult","Adult","Female","Working Adult",0,0,0
"4",0,NA,NA,NA,7,"working adult","Adult","Female","Working Adult",NA,NA,NA
"4",1,NA,NA,NA,7,"working adult","Adult","Female","Working Adult",NA,NA,NA
"4",2,NA,NA,NA,7,"working adult","Adult","Female","Working Adult",NA,NA,NA
"4",3,NA,NA,NA,7,"working adult","Adult","Female","Working Adult",NA,NA,NA
"4",4,1,0,17,7,"working adult","Adult","Female","Working Adult",0.933333333333333,0,1.14
"4",5,4,0,12,7,"working adult","Adult","Female","Working Adult",3.93333333333333,0,-3.86
"4",6,1,0,NA,7,"working adult","Adult","Female","Working Adult",0.933333333333333,0,NA
"4",7,3,0,NA,7,"working adult","Adult","Female","Working Adult",2.93333333333333,0,NA
"4",8,0,0,17,7,"working adult","Adult","Female","Working Adult",-0.0666666666666667,0,1.14
"4",9,0,0,17,7,"working adult","Adult","Female","Working Adult",-0.0666666666666667,0,1.14
"4",10,1,0,12,7,"working adult","Adult","Female","Working Adult",0.933333333333333,0,-3.86
"4",11,1,0,13,7,"working adult","Adult","Female","Working Adult",0.933333333333333,0,-2.86
"4",12,NA,NA,NA,7,"working adult","Adult","Female","Working Adult",NA,NA,NA
"4",13,NA,NA,NA,7,"working adult","Adult","Female","Working Adult",NA,NA,NA
"4",14,NA,NA,NA,7,"working adult","Adult","Female","Working Adult",NA,NA,NA
"4",30,1.2,0,12,7,"working adult","Adult","Female","Working Adult",1.13333333333333,0,-3.86
"5",-15,1.6,0,5.43,7,"working adult","Adult","Male","Working Adult",0,0,0
"5",0,1,0,12,7,"working adult","Adult","Male","Working Adult",-0.6,0,6.57
"5",1,1,0,12,7,"working adult","Adult","Male","Working Adult",-0.6,0,6.57
"5",2,2,0,11,7,"working adult","Adult","Male","Working Adult",0.4,0,5.57
"5",3,1,0,14,7,"working adult","Adult","Male","Working Adult",-0.6,0,8.57
"5",4,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",5,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",6,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",7,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",8,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",9,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",10,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",11,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",12,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",13,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",14,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"5",30,NA,NA,NA,7,"working adult","Adult","Male","Working Adult",NA,NA,NA
"6",-15,0.933333333333333,0.933333333333333,NA,3,"homemaker","Adult","Female","Homemaker",0,0,NA
"6",0,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"6",1,1,0,NA,3,"homemaker","Adult","Female","Homemaker",0.066666666666667,-0.933333333333333,NA
"6",2,2,0,NA,3,"homemaker","Adult","Female","Homemaker",1.06666666666667,-0.933333333333333,NA
"6",3,2,0,NA,3,"homemaker","Adult","Female","Homemaker",1.06666666666667,-0.933333333333333,NA
"6",4,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.933333333333333,-0.933333333333333,NA
"6",5,2,1,10,3,"homemaker","Adult","Female","Homemaker",1.06666666666667,0.066666666666667,NA
"6",6,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.933333333333333,-0.933333333333333,NA
"6",7,2,1,12,3,"homemaker","Adult","Female","Homemaker",1.06666666666667,0.066666666666667,NA
"6",8,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.933333333333333,-0.933333333333333,NA
"6",9,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"6",10,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"6",11,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"6",12,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"6",13,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"6",14,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"6",30,0.666666666666667,0,11.7142857142857,3,"homemaker","Adult","Female","Homemaker",-0.266666666666666,-0.933333333333333,NA
"7",-15,1.73333333333333,0,13.43,5,"student","Child","Male","Young student",0,0,0
"7",0,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"7",1,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"7",2,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"7",3,1,0,15,5,"student","Child","Male","Young student",-0.73333333333333,0,1.57
"7",4,1,0,15,5,"student","Child","Male","Young student",-0.73333333333333,0,1.57
"7",5,0,0,17,5,"student","Child","Male","Young student",-1.73333333333333,0,3.57
"7",6,1,0,13,5,"student","Child","Male","Young student",-0.73333333333333,0,-0.43
"7",7,2,0,11,5,"student","Child","Male","Young student",0.26666666666667,0,-2.43
"7",8,3,0,12,5,"student","Child","Male","Young student",1.26666666666667,0,-1.43
"7",9,3,0,13,5,"student","Child","Male","Young student",1.26666666666667,0,-0.43
"7",10,3,0,12,5,"student","Child","Male","Young student",1.26666666666667,0,-1.43
"7",11,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"7",12,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"7",13,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"7",14,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"7",30,1.86666666666667,0,11.1428571428571,5,"student","Child","Male","Young student",0.13333333333334,0,-2.2871428571429
"8",-15,0.8,0,12.86,3,"homemaker","Adult","Female","Homemaker",0,0,0
"8",0,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"8",1,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"8",2,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"8",3,0,0,16,3,"homemaker","Adult","Female","Homemaker",-0.8,0,3.14
"8",4,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.8,0,4.14
"8",5,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.8,0,4.14
"8",6,0,0,3,3,"homemaker","Adult","Female","Homemaker",-0.8,0,-9.86
"8",7,1,0,15,3,"homemaker","Adult","Female","Homemaker",0.2,0,2.14
"8",8,2,0,15,3,"homemaker","Adult","Female","Homemaker",1.2,0,2.14
"8",9,2,0,NA,3,"homemaker","Adult","Female","Homemaker",1.2,0,NA
"8",10,0,0,14,3,"homemaker","Adult","Female","Homemaker",-0.8,0,1.14
"8",11,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"8",12,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"8",13,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"8",14,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"8",30,1.06666666666667,0.266666666666667,6.42857142857143,3,"homemaker","Adult","Female","Homemaker",0.26666666666667,0.266666666666667,-6.43142857142857
"9",-15,0.933333333333333,0.2,12.43,5,"student","Child","Male","Young student",0,0,0
"9",0,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"9",1,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"9",2,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"9",3,0,0,17,5,"student","Child","Male","Young student",-0.933333333333333,-0.2,4.57
"9",4,1,0,14,5,"student","Child","Male","Young student",0.066666666666667,-0.2,1.57
"9",5,0,0,17,5,"student","Child","Male","Young student",-0.933333333333333,-0.2,4.57
"9",6,0,0,17,5,"student","Child","Male","Young student",-0.933333333333333,-0.2,4.57
"9",7,1,0,14,5,"student","Child","Male","Young student",0.066666666666667,-0.2,1.57
"9",8,0,0,17,5,"student","Child","Male","Young student",-0.933333333333333,-0.2,4.57
"9",9,0,0,13,5,"student","Child","Male","Young student",-0.933333333333333,-0.2,0.57
"9",10,1,0,9,5,"student","Child","Male","Young student",0.066666666666667,-0.2,-3.43
"9",11,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"9",12,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"9",13,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"9",14,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"9",30,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"10",-15,0.266666666666667,0.0666666666666667,11.71,5,"student","Adult","Male","College student",0,0,0
"10",0,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",1,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",2,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",3,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",4,0,0,7,5,"student","Adult","Male","College student",-0.266666666666667,-0.0666666666666667,-4.71
"10",5,1,0,7,5,"student","Adult","Male","College student",0.733333333333333,-0.0666666666666667,-4.71
"10",6,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",7,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",8,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",9,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",10,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",11,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",12,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",13,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",14,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"10",30,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"11",-15,0.266666666666667,0.133333333333333,16,5,"student","Child","Female","Young student",0,0,0
"11",0,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"11",1,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"11",2,0,0,2,5,"student","Child","Female","Young student",-0.266666666666667,-0.133333333333333,-14
"11",3,0,0,17,5,"student","Child","Female","Young student",-0.266666666666667,-0.133333333333333,1
"11",4,0,0,17,5,"student","Child","Female","Young student",-0.266666666666667,-0.133333333333333,1
"11",5,0,0,17,5,"student","Child","Female","Young student",-0.266666666666667,-0.133333333333333,1
"11",6,0,0,16,5,"student","Child","Female","Young student",-0.266666666666667,-0.133333333333333,0
"11",7,1,1,1,5,"student","Child","Female","Young student",0.733333333333333,0.866666666666667,-15
"11",8,1,1,8,5,"student","Child","Female","Young student",0.733333333333333,0.866666666666667,-8
"11",9,1,1,14,5,"student","Child","Female","Young student",0.733333333333333,0.866666666666667,-2
"11",10,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"11",11,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"11",12,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"11",13,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"11",14,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"11",30,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"12",-15,1.93333333333333,0,9.14,6,"unskilled/selfemployed","Adult","Male","Working Adult",0,0,0
"12",0,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",1,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",2,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",3,0,0,17,6,"unskilled/selfemployed","Adult","Male","Working Adult",-1.93333333333333,0,7.86
"12",4,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",5,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",6,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",7,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",8,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",9,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",10,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",11,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",12,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",13,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",14,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"12",30,NA,NA,NA,6,"unskilled/selfemployed","Adult","Male","Working Adult",NA,NA,NA
"13",-15,1.8,0,7,6,"unskilled/selfemployed","Adult","Female","Working Adult",0,0,0
"13",0,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",1,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",2,0,0,17,6,"unskilled/selfemployed","Adult","Female","Working Adult",-1.8,0,10
"13",3,0,0,10,6,"unskilled/selfemployed","Adult","Female","Working Adult",-1.8,0,3
"13",4,2,0,10,6,"unskilled/selfemployed","Adult","Female","Working Adult",0.2,0,3
"13",5,1,0,13,6,"unskilled/selfemployed","Adult","Female","Working Adult",-0.8,0,6
"13",6,1,0,14,6,"unskilled/selfemployed","Adult","Female","Working Adult",-0.8,0,7
"13",7,3,0,5,6,"unskilled/selfemployed","Adult","Female","Working Adult",1.2,0,-2
"13",8,1,0,6,6,"unskilled/selfemployed","Adult","Female","Working Adult",-0.8,0,-1
"13",9,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",10,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",11,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",12,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",13,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",14,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"13",30,NA,NA,NA,6,"unskilled/selfemployed","Adult","Female","Working Adult",NA,NA,NA
"14",-15,0.466666666666667,0.133333333333333,13.71,5,"student","Child","Male","Young student",0,0,0
"14",0,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",1,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",2,0,0,17,5,"student","Child","Male","Young student",-0.466666666666667,-0.133333333333333,3.29
"14",3,0,0,17,5,"student","Child","Male","Young student",-0.466666666666667,-0.133333333333333,3.29
"14",4,0,0,17,5,"student","Child","Male","Young student",-0.466666666666667,-0.133333333333333,3.29
"14",5,2,1,NA,5,"student","Child","Male","Young student",1.53333333333333,0.866666666666667,NA
"14",6,0,0,17,5,"student","Child","Male","Young student",-0.466666666666667,-0.133333333333333,3.29
"14",7,0,0,17,5,"student","Child","Male","Young student",-0.466666666666667,-0.133333333333333,3.29
"14",8,1,1,16,5,"student","Child","Male","Young student",0.533333333333333,0.866666666666667,2.29
"14",9,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",10,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",11,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",12,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",13,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",14,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"14",30,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"15",-15,1.8,0.0666666666666667,11.75,5,"student","Adult","Male","College student",0,0,0
"15",0,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"15",1,1,0,13,5,"student","Adult","Male","College student",-0.8,-0.0666666666666667,1.25
"15",2,1,0,13,5,"student","Adult","Male","College student",-0.8,-0.0666666666666667,1.25
"15",3,1,0,9,5,"student","Adult","Male","College student",-0.8,-0.0666666666666667,-2.75
"15",4,1,0,13,5,"student","Adult","Male","College student",-0.8,-0.0666666666666667,1.25
"15",5,1,0,13,5,"student","Adult","Male","College student",-0.8,-0.0666666666666667,1.25
"15",6,1,0,15,5,"student","Adult","Male","College student",-0.8,-0.0666666666666667,3.25
"15",7,2,0,11,5,"student","Adult","Male","College student",0.2,-0.0666666666666667,-0.75
"15",8,1,0,13,5,"student","Adult","Male","College student",-0.8,-0.0666666666666667,1.25
"15",9,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"15",10,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"15",11,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"15",12,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"15",13,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"15",14,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"15",30,NA,NA,NA,5,"student","Adult","Male","College student",NA,NA,NA
"16",-15,0,0,17,5,"student","Child","Male","Young student",0,0,0
"16",0,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"16",1,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"16",2,1,0,NA,5,"student","Child","Male","Young student",1,0,NA
"16",3,1,0,NA,5,"student","Child","Male","Young student",1,0,NA
"16",4,1,0,NA,5,"student","Child","Male","Young student",1,0,NA
"16",5,1,0,NA,5,"student","Child","Male","Young student",1,0,NA
"16",6,1,0,NA,5,"student","Child","Male","Young student",1,0,NA
"16",7,2,0,NA,5,"student","Child","Male","Young student",2,0,NA
"16",8,0,0,17,5,"student","Child","Male","Young student",0,0,0
"16",9,1,0,13,5,"student","Child","Male","Young student",1,0,-4
"16",10,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"16",11,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"16",12,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"16",13,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"16",14,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"16",30,0.733333333333333,0.133333333333333,8.71428571428571,5,"student","Child","Male","Young student",0.733333333333333,0.133333333333333,-8.28571428571429
"17",-15,0,0,15,5,"student","Child","Female","Young student",0,0,0
"17",0,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"17",1,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"17",2,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"17",3,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"17",4,0,0,17,5,"student","Child","Female","Young student",0,0,2
"17",5,0,0,17,5,"student","Child","Female","Young student",0,0,2
"17",6,0,0,17,5,"student","Child","Female","Young student",0,0,2
"17",7,0,0,16,5,"student","Child","Female","Young student",0,0,1
"17",8,0,0,14,5,"student","Child","Female","Young student",0,0,-1
"17",9,0,0,17,5,"student","Child","Female","Young student",0,0,2
"17",10,0,0,14,5,"student","Child","Female","Young student",0,0,-1
"17",11,0,0,14,5,"student","Child","Female","Young student",0,0,-1
"17",12,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"17",13,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"17",14,NA,NA,NA,5,"student","Child","Female","Young student",NA,NA,NA
"17",30,0.2,0,14,5,"student","Child","Female","Young student",0.2,0,-1
"18",-15,0.866666666666667,0,10.57,5,"student","Child","Male","Young student",0,0,0
"18",0,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"18",1,0,0,17,5,"student","Child","Male","Young student",-0.866666666666667,0,6.43
"18",2,0,0,10,5,"student","Child","Male","Young student",-0.866666666666667,0,-0.57
"18",3,1,0,10,5,"student","Child","Male","Young student",0.133333333333333,0,-0.57
"18",4,0,0,14,5,"student","Child","Male","Young student",-0.866666666666667,0,3.43
"18",5,0,0,12,5,"student","Child","Male","Young student",-0.866666666666667,0,1.43
"18",6,0,0,16,5,"student","Child","Male","Young student",-0.866666666666667,0,5.43
"18",7,2,0,10,5,"student","Child","Male","Young student",1.13333333333333,0,-0.57
"18",8,3,1,9,5,"student","Child","Male","Young student",2.13333333333333,1,-1.57
"18",9,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"18",10,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"18",11,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"18",12,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"18",13,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"18",14,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"18",30,1.66666666666667,0.133333333333333,11.1428571428571,5,"student","Child","Male","Young student",0.800000000000003,0.133333333333333,0.572857142857099
"19",-15,1.73333333333333,0.733333333333333,10,3,"homemaker","Adult","Female","Homemaker",0,0,0
"19",0,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"19",1,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"19",2,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"19",3,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"19",4,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"19",5,2,1,9,3,"homemaker","Adult","Female","Homemaker",0.26666666666667,0.266666666666667,-1
"19",6,2,1,9,3,"homemaker","Adult","Female","Homemaker",0.26666666666667,0.266666666666667,-1
"19",7,2,1,9,3,"homemaker","Adult","Female","Homemaker",0.26666666666667,0.266666666666667,-1
"19",8,2,0,NA,3,"homemaker","Adult","Female","Homemaker",0.26666666666667,-0.733333333333333,NA
"19",9,4,1,NA,3,"homemaker","Adult","Female","Homemaker",2.26666666666667,0.266666666666667,NA
"19",10,4,2,NA,3,"homemaker","Adult","Female","Homemaker",2.26666666666667,1.26666666666667,NA
"19",11,3,2,NA,3,"homemaker","Adult","Female","Homemaker",1.26666666666667,1.26666666666667,NA
"19",12,0,0,7,3,"homemaker","Adult","Female","Homemaker",-1.73333333333333,-0.733333333333333,-3
